Tiempo;Desplazamiento;Desplazamiento por tracción;Fuerza;Deformación por tracción (Deformación 1);Esfuerzo de tracción
(s);(mm);(mm);(N);(%);(MPa)
"0,0000";"0,0127";"0,0000";"0,3183";"0,0000";"0,0075"
"0,0060";"0,0127";"0,0000";"0,2996";"0,0000";"0,0070"
"0,0120";"0,0129";"0,0000";"0,2898";"0,0000";"0,0068"
"0,0180";"0,0130";"0,0000";"0,2720";"0,0001";"0,0064"
"0,0240";"0,0131";"0,0000";"0,2465";"0,0000";"0,0058"
"0,0300";"0,0133";"0,0000";"0,2641";"0,0001";"0,0062"
"0,0360";"0,0137";"0,0001";"0,3237";"0,0001";"0,0076"
"0,0420";"0,0140";"0,0001";"0,4103";"0,0003";"0,0096"
"0,0480";"0,0145";"0,0002";"0,5399";"0,0004";"0,0127"
"0,0540";"0,0149";"0,0003";"0,7570";"0,0007";"0,0178"
"0,0600";"0,0155";"0,0005";"0,9901";"0,0009";"0,0232"
"0,0660";"0,0161";"0,0006";"1,2543";"0,0012";"0,0294"
"0,0720";"0,0167";"0,0008";"1,5740";"0,0016";"0,0369"
"0,0780";"0,0174";"0,0010";"2,0149";"0,0020";"0,0473"
"0,0840";"0,0179";"0,0012";"2,5325";"0,0024";"0,0594"
"0,0900";"0,0186";"0,0014";"3,0990";"0,0028";"0,0727"
"0,0960";"0,0192";"0,0016";"3,7087";"0,0033";"0,0870"
"0,1020";"0,0199";"0,0019";"4,3273";"0,0038";"0,1015"
"0,1080";"0,0205";"0,0021";"4,9530";"0,0042";"0,1162"
"0,1140";"0,0212";"0,0024";"5,5740";"0,0047";"0,1308"
"0,1200";"0,0217";"0,0026";"6,1954";"0,0052";"0,1454"
"0,1260";"0,0223";"0,0029";"6,8180";"0,0058";"0,1600"
"0,1320";"0,0230";"0,0032";"7,4303";"0,0063";"0,1743"
"0,1380";"0,0236";"0,0034";"8,0344";"0,0069";"0,1885"
"0,1440";"0,0242";"0,0037";"8,6251";"0,0074";"0,2024"
"0,1500";"0,0248";"0,0040";"9,1849";"0,0079";"0,2155"
"0,1560";"0,0254";"0,0042";"9,7405";"0,0084";"0,2286"
"0,1620";"0,0260";"0,0045";"10,2663";"0,0089";"0,2409"
"0,1680";"0,0265";"0,0047";"10,7694";"0,0094";"0,2527"
"0,1740";"0,0271";"0,0050";"11,3154";"0,0099";"0,2655"
"0,1800";"0,0276";"0,0052";"11,8816";"0,0104";"0,2788"
"0,1860";"0,0281";"0,0055";"12,4381";"0,0109";"0,2918"
"0,1920";"0,0287";"0,0057";"12,9681";"0,0114";"0,3043"
"0,1980";"0,0291";"0,0059";"13,5040";"0,0119";"0,3169"
"0,2040";"0,0297";"0,0062";"14,0515";"0,0123";"0,3297"
"0,2100";"0,0302";"0,0064";"14,6110";"0,0127";"0,3428"
"0,2160";"0,0307";"0,0066";"15,1432";"0,0131";"0,3553"
"0,2220";"0,0312";"0,0068";"15,6481";"0,0136";"0,3672"
"0,2280";"0,0317";"0,0070";"16,1196";"0,0140";"0,3782"
"0,2340";"0,0322";"0,0072";"16,6268";"0,0144";"0,3901"
"0,2400";"0,0327";"0,0075";"17,1174";"0,0149";"0,4016"
"0,2460";"0,0333";"0,0077";"17,5778";"0,0154";"0,4124"
"0,2520";"0,0338";"0,0079";"18,0160";"0,0158";"0,4227"
"0,2580";"0,0343";"0,0081";"18,4545";"0,0162";"0,4330"
"0,2640";"0,0349";"0,0083";"18,8974";"0,0166";"0,4434"
"0,2700";"0,0354";"0,0085";"19,3655";"0,0170";"0,4544"
"0,2760";"0,0359";"0,0087";"19,8572";"0,0175";"0,4659"
"0,2820";"0,0364";"0,0089";"20,3792";"0,0179";"0,4782"
"0,2880";"0,0369";"0,0091";"20,8761";"0,0183";"0,4898"
"0,2940";"0,0374";"0,0093";"21,3527";"0,0187";"0,5010"
"0,3000";"0,0379";"0,0096";"21,8085";"0,0191";"0,5117"
"0,3060";"0,0384";"0,0098";"22,2298";"0,0195";"0,5216"
"0,3120";"0,0388";"0,0100";"22,6440";"0,0200";"0,5313"
"0,3180";"0,0394";"0,0102";"23,0748";"0,0204";"0,5414"
"0,3240";"0,0399";"0,0104";"23,5180";"0,0208";"0,5518"
"0,3300";"0,0403";"0,0106";"23,9833";"0,0212";"0,5627"
"0,3360";"0,0409";"0,0108";"24,4824";"0,0217";"0,5745"
"0,3420";"0,0414";"0,0110";"24,9714";"0,0221";"0,5859"
"0,3480";"0,0419";"0,0112";"25,4179";"0,0225";"0,5964"
"0,3540";"0,0424";"0,0114";"25,8732";"0,0228";"0,6071"
"0,3600";"0,0429";"0,0116";"26,3165";"0,0232";"0,6175"
"0,3660";"0,0434";"0,0118";"26,7838";"0,0236";"0,6285"
"0,3720";"0,0439";"0,0120";"27,2839";"0,0240";"0,6402"
"0,3780";"0,0444";"0,0122";"27,7867";"0,0244";"0,6520"
"0,3840";"0,0449";"0,0124";"28,2504";"0,0248";"0,6629"
"0,3900";"0,0455";"0,0126";"28,7290";"0,0252";"0,6741"
"0,3960";"0,0460";"0,0128";"29,2268";"0,0257";"0,6858"
"0,4020";"0,0464";"0,0131";"29,7437";"0,0262";"0,6979"
"0,4080";"0,0470";"0,0133";"30,2324";"0,0266";"0,7094"
"0,4140";"0,0475";"0,0135";"30,6559";"0,0269";"0,7193"
"0,4200";"0,0479";"0,0137";"31,0872";"0,0273";"0,7294"
"0,4260";"0,0484";"0,0139";"31,5225";"0,0277";"0,7396"
"0,4320";"0,0489";"0,0141";"31,9706";"0,0281";"0,7502"
"0,4380";"0,0493";"0,0143";"32,4158";"0,0285";"0,7606"
"0,4440";"0,0499";"0,0145";"32,8381";"0,0289";"0,7705"
"0,4500";"0,0504";"0,0147";"33,2394";"0,0294";"0,7799"
"0,4560";"0,0508";"0,0149";"33,6365";"0,0298";"0,7892"
"0,4620";"0,0513";"0,0151";"34,0383";"0,0302";"0,7987"
"0,4680";"0,0519";"0,0153";"34,4547";"0,0306";"0,8084"
"0,4740";"0,0523";"0,0155";"34,8942";"0,0309";"0,8188"
"0,4800";"0,0529";"0,0156";"35,3297";"0,0313";"0,8290"
"0,4860";"0,0534";"0,0158";"35,7597";"0,0317";"0,8391"
"0,4920";"0,0539";"0,0160";"36,2143";"0,0320";"0,8497"
"0,4980";"0,0544";"0,0162";"36,6478";"0,0324";"0,8599"
"0,5040";"0,0549";"0,0164";"37,1210";"0,0328";"0,8710"
"0,5100";"0,0554";"0,0166";"37,6380";"0,0332";"0,8831"
"0,5160";"0,0560";"0,0168";"38,1468";"0,0336";"0,8951"
"0,5220";"0,0565";"0,0171";"38,6368";"0,0341";"0,9066"
"0,5280";"0,0569";"0,0173";"39,1048";"0,0346";"0,9176"
"0,5340";"0,0574";"0,0175";"39,5529";"0,0350";"0,9281"
"0,5400";"0,0579";"0,0177";"40,0037";"0,0354";"0,9386"
"0,5460";"0,0584";"0,0179";"40,4367";"0,0358";"0,9488"
"0,5520";"0,0589";"0,0181";"40,8269";"0,0362";"0,9580"
"0,5580";"0,0594";"0,0183";"41,1728";"0,0366";"0,9661"
"0,5640";"0,0598";"0,0185";"41,5762";"0,0370";"0,9755"
"0,5700";"0,0604";"0,0187";"42,0368";"0,0374";"0,9864"
"0,5760";"0,0609";"0,0189";"42,5090";"0,0378";"0,9974"
