Tiempo;Desplazamiento;Desplazamiento por tracción;Fuerza;Deformación por tracción (Deformación 1);Esfuerzo de tracción
(s);(mm);(mm);(N);(%);(MPa)
"0,0000";"0,0000";"0,0000";"0,0018";"0,0000";"0,0000"
"0,0060";"0,0000";"0,0000";"-0,0156";"0,0000";"-0,0003"
"0,0120";"0,0001";"0,0000";"-0,0077";"0,0001";"-0,0002"
"0,0180";"0,0003";"0,0001";"0,0051";"0,0002";"0,0001"
"0,0240";"0,0005";"0,0001";"0,0251";"0,0002";"0,0006"
"0,0300";"0,0007";"0,0001";"0,0535";"0,0002";"0,0012"
"0,0360";"0,0011";"0,0001";"0,0948";"0,0002";"0,0021"
"0,0420";"0,0014";"0,0001";"0,1718";"0,0002";"0,0038"
"0,0480";"0,0019";"0,0002";"0,2950";"0,0003";"0,0065"
"0,0540";"0,0023";"0,0002";"0,5019";"0,0005";"0,0110"
"0,0600";"0,0028";"0,0003";"0,7494";"0,0007";"0,0164"
"0,0660";"0,0033";"0,0005";"1,0085";"0,0010";"0,0221"
"0,0720";"0,0039";"0,0007";"1,3287";"0,0014";"0,0292"
"0,0780";"0,0044";"0,0009";"1,6777";"0,0017";"0,0368"
"0,0840";"0,0050";"0,0011";"2,0726";"0,0022";"0,0455"
"0,0900";"0,0056";"0,0013";"2,5273";"0,0025";"0,0555"
"0,0960";"0,0062";"0,0015";"2,9900";"0,0029";"0,0656"
"0,1020";"0,0067";"0,0017";"3,4253";"0,0034";"0,0752"
"0,1080";"0,0074";"0,0019";"3,9125";"0,0038";"0,0859"
"0,1140";"0,0080";"0,0021";"4,4581";"0,0043";"0,0978"
"0,1200";"0,0086";"0,0024";"5,0025";"0,0047";"0,1098"
"0,1260";"0,0092";"0,0026";"5,5276";"0,0052";"0,1213"
"0,1320";"0,0099";"0,0029";"6,0465";"0,0058";"0,1327"
"0,1380";"0,0104";"0,0032";"6,5884";"0,0064";"0,1446"
"0,1440";"0,0110";"0,0035";"7,1164";"0,0070";"0,1562"
"0,1500";"0,0117";"0,0038";"7,6463";"0,0075";"0,1678"
"0,1560";"0,0123";"0,0040";"8,1728";"0,0081";"0,1794"
"0,1620";"0,0128";"0,0043";"8,6550";"0,0086";"0,1900"
"0,1680";"0,0134";"0,0046";"9,1330";"0,0091";"0,2005"
"0,1740";"0,0139";"0,0048";"9,6553";"0,0096";"0,2119"
"0,1800";"0,0145";"0,0051";"10,1829";"0,0101";"0,2235"
"0,1860";"0,0151";"0,0053";"10,6831";"0,0107";"0,2345"
"0,1920";"0,0156";"0,0056";"11,1771";"0,0112";"0,2453"
"0,1980";"0,0161";"0,0058";"11,6615";"0,0117";"0,2560"
"0,2040";"0,0167";"0,0061";"12,1151";"0,0122";"0,2659"
"0,2100";"0,0172";"0,0063";"12,5762";"0,0127";"0,2760"
"0,2160";"0,0177";"0,0066";"13,0439";"0,0132";"0,2863"
"0,2220";"0,0183";"0,0068";"13,5601";"0,0137";"0,2976"
"0,2280";"0,0188";"0,0071";"14,0885";"0,0141";"0,3092"
"0,2340";"0,0194";"0,0073";"14,6065";"0,0146";"0,3206"
"0,2400";"0,0199";"0,0075";"15,0771";"0,0151";"0,3309"
"0,2460";"0,0205";"0,0078";"15,5098";"0,0156";"0,3404"
"0,2520";"0,0210";"0,0080";"15,9252";"0,0161";"0,3495"
"0,2580";"0,0215";"0,0083";"16,3658";"0,0166";"0,3592"
"0,2640";"0,0221";"0,0085";"16,7735";"0,0170";"0,3682"
"0,2700";"0,0226";"0,0088";"17,1435";"0,0175";"0,3763"
"0,2760";"0,0230";"0,0090";"17,5080";"0,0180";"0,3843"
"0,2820";"0,0235";"0,0093";"17,9000";"0,0185";"0,3929"
"0,2880";"0,0241";"0,0095";"18,3208";"0,0190";"0,4021"
"0,2940";"0,0245";"0,0097";"18,7411";"0,0194";"0,4113"
"0,3000";"0,0250";"0,0100";"19,1591";"0,0199";"0,4205"
"0,3060";"0,0255";"0,0102";"19,5947";"0,0204";"0,4301"
"0,3120";"0,0260";"0,0104";"20,0152";"0,0208";"0,4393"
"0,3180";"0,0265";"0,0106";"20,4496";"0,0213";"0,4488"
"0,3240";"0,0270";"0,0108";"20,9033";"0,0217";"0,4588"
"0,3300";"0,0275";"0,0110";"21,3237";"0,0221";"0,4680"
"0,3360";"0,0280";"0,0113";"21,7180";"0,0225";"0,4767"
"0,3420";"0,0286";"0,0115";"22,1186";"0,0230";"0,4855"
"0,3480";"0,0290";"0,0117";"22,5383";"0,0234";"0,4947"
"0,3540";"0,0296";"0,0119";"22,9603";"0,0238";"0,5039"
"0,3600";"0,0302";"0,0121";"23,3631";"0,0243";"0,5128"
"0,3660";"0,0306";"0,0124";"23,7588";"0,0248";"0,5215"
"0,3720";"0,0312";"0,0126";"24,1535";"0,0252";"0,5301"
"0,3780";"0,0317";"0,0128";"24,5618";"0,0257";"0,5391"
"0,3840";"0,0321";"0,0131";"24,9814";"0,0262";"0,5483"
"0,3900";"0,0327";"0,0133";"25,4083";"0,0266";"0,5577"
"0,3960";"0,0332";"0,0135";"25,7945";"0,0271";"0,5661"
"0,4020";"0,0336";"0,0138";"26,1680";"0,0275";"0,5743"
"0,4080";"0,0341";"0,0140";"26,5345";"0,0280";"0,5824"
"0,4140";"0,0346";"0,0142";"26,9510";"0,0284";"0,5915"
"0,4200";"0,0351";"0,0144";"27,3880";"0,0289";"0,6011"
"0,4260";"0,0356";"0,0146";"27,8059";"0,0293";"0,6103"
"0,4320";"0,0361";"0,0148";"28,2233";"0,0297";"0,6195"
"0,4380";"0,0366";"0,0151";"28,6108";"0,0301";"0,6280"
"0,4440";"0,0371";"0,0153";"28,9907";"0,0305";"0,6363"
"0,4500";"0,0376";"0,0155";"29,3907";"0,0310";"0,6451"
"0,4560";"0,0381";"0,0157";"29,7872";"0,0315";"0,6538"
"0,4620";"0,0386";"0,0160";"30,1529";"0,0319";"0,6618"
